"nanyangSiteId","siteNameZh","siteNameAlt1","LATITUDE","LONGITUDE"
"tt-mb-d103F30","台北正覺第二講堂","Taipei Zheng Jue Di Er Jiang Tang",25.072497,121.519093
"tt-mb-d103F40","創價學會大龍峒講堂","Chuang Jia Xue Hui Da Long Tong Jiang Tang",25.072878,121.517311
"tt-mb-d104A10","慧日講堂","Light of Wisdom Dharma Hall",25.049762,121.541372
"tt-mb-d104A21","臨濟護國禪寺","Lin Ji Hu Guo Chan Si",25.072208,121.520783
"tt-mb-d104A31","中台山普觀精舍","Chung Tai Shan Pu Guan Meditation Center",25.081778,121.590558
"tt-mb-d104A40","中台山普圓精舍","Chung Tai Shan Pu Yuan Meditation Center",25.068272,121.52206
"tt-mb-d104A53","劍潭古寺","Jian Tan Gu Si",25.086079,121.5554
"tt-mb-d104A60","大忠宮","Da Zhong Gong",25.080731,121.52647
"tt-mb-d104A70","台北市蓮友念佛團","Taipei Lian You Nian Fo Tuan",25.050096,121.541919
"tt-mb-d104A80","金剛寺","Jin Gang Si",25.081077,121.525999
"tt-mb-d104A90","本願山圓通巖","Ben Yuan Shan Yuan Tong Yan",25.081605,121.528691
"tt-mb-d104B00","圓山地藏庵","Yuan Shan Di Cang An",25.073039,121.520705
"tt-mb-d104B10","圓玄學社","Yuan Xuan Xue She",25.055565,121.533522
"tt-mb-d104B20","妙道院","Miao Dao Yuan",25.064991,121.528814
"tt-mb-d104B30","台北行天宮","Taipei Xing Tian Gong",25.063091,121.533939
"tt-mb-d104B40","大覺禪舍","Da Jue Chan She",25.050419,121.52419
"tt-mb-d104B50","靖心殿","Jing Xin Dian",25.081187,121.527913
"tt-mb-d104B60","圓山藥師寺","Yuan Shan Yao Shi Si",25.081265,121.527216
"tt-mb-d104B70","慈雲寺北區護法會","Ci Yun Si Bei Qu Hu Fa Hui",25.078935,121.545822
"tt-mb-d104B80","明山寺","Ming Shan Si",25.086399,121.553703
"tt-mb-d104B91","法鼓山中山精舍","Dharma Drum Mountain Zhong Shan Dharma Center",25.062903,121.525392
"tt-mb-d104C00","慈濟中山共修處","Ci Ji Zhong Shan Gong Xiu Chu",25.056193,121.530336
"tt-mb-d104C10","慈音居士會","Ci Yin Ju Shi Hui",25.077722,121.545542
"tt-mb-d104C20","靜修堂","Jing Xiu Tang",25.058979,121.526224
"tt-mb-d104C30","中國藏密薩迦佛學研究會","Cang Mi Sa Jia Fo Xue Yan Jiu Hui (R.O.C.)",25.048592,121.532446
"tt-mb-d104C40","中華佛教青年會","Zhong Hua Buddhist Young Buddhists Society",25.048222,121.534001
"tt-mb-d104C50","四面佛","Si Mian Fo",25.054683,121.533372
"tt-mb-d104C60","慈濟中山聯絡處","Ci Ji Zhong Shan Lian Luo Chu",25.064388,121.536546
"tt-mb-d104C70","正音精舍","Zheng Yin Jing She",25.08831,121.536641
"tt-mb-d104C80","台北市佛教青年會","Taipei Buddhist Young Buddhists Society",25.047605,121.529646
"tt-mb-d104C90","佛祖寺","Fo Zu Si",25.082315,121.527908
"tt-mb-d104D00","正願寺","Zheng Yuan Si",25.087701,121.551344
"tt-mb-d104D10","慈德佛堂","Ci De Fo Tang",25.059237,121.531869
"tt-mb-d104D20","祇園精舍","Qi Yuan Jing She",25.058132,121.535767
"tt-mb-d104D30","普賢講堂","Pu Xian Jiang Tang",25.062513,121.525203
"tt-mb-d104D40","妙吉祥佛學會","Miao Ji Xiang Buddhist Institute",25.059528,121.524858
"tt-mb-d104D50","智泉講堂","Zhi Quan Jiang Tang",25.060754,121.541782
"tt-mb-d104D60","佛法山海天禪寺","Fo Fa Shan Hai Tian Chan Si",25.053669,121.543737
"tt-mb-d104D70","法爾禪修中心","Fa Er Chan Xiu Zhong Xin",25.049199,121.535246
"tt-mb-d104D80","覺風學苑","Jue Feng Xue Yuan",25.050621,121.530659
"tt-mb-d104D90","大願佛教蓮社","Da Yuan Buddhist Lotus Society",25.062206,121.536022
"tt-mb-d104F00","妙持學苑","Miao Chi Xue Yuan",25.063766,121.524915
"tt-mb-d104F10","台北竹巴噶舉佛學中心","Taipei Zhu Ba Kagyu Buddhist Center",25.066757,121.526115
"tt-mb-d104F20","光明王寺台北道場","Guang Ming Wang Si Taipei Dao Chang",25.057533,121.526737
"tt-mb-d104F30","竹巴噶舉噶爾謝祖佛學中心","Zhu Ba Kagyu Ga Er Xie Zu Buddhist Center",25.066447,121.53638
"tt-mb-d104F40","大悲精舍","Da Bei Jing She",25.065622,121.535607
"tt-mb-d104F50","大直普惠中心","Da Zhi Pu Hui Zhong Xin",25.083278,121.54797
"tt-mb-d104F60","台北市寧瑪白玉大圓滿佛學會","Taipei Nyingma Palyul Da Yuan Man Buddhist Institute",25.051148,121.524742
"tt-mb-d104F70","桑千偉薩卻林佛學研究會","Sang Qian Wei Sa Que Lin Fo Xue Yan Jiu Hui",25.057059,121.522013
"tt-mb-d104F80","台灣噶舉佛學院","Taiwan Kagyu Fo Xue Yuan",25.058597,121.529499
"tt-mb-d104F90","台北敏卓林中心","Taipei Mindrolling Center",25.055936,121.531454
"tt-mb-d104G00","噶陀十方尊聖佛學會","Kathok Choklay Namgyal Buddhist Institute",25.054402,121.543168
"tt-mb-d104G10","中華民國密宗薩迦佛學會","Sakya Buddhist Institute (R.O.C.)",25.060457,121.5322
"tt-mb-d104G20","護國大悲院","Hu Guo Da Bei Yuan",25.050032,121.524937
"tt-mb-d104G30","修元禪院","Xiu Yuan Chan Yuan",25.064337,121.534626
"tt-mb-d104G40","菩提林佛堂","Pu Ti Lin Fo Tang",25.058465,121.529366
"tt-mb-d104G50","雲山寺","Yun Shan Si",25.050605,121.525467
"tt-mb-d104G60","圓覺講堂","Yuan Jue Jiang Tang",25.057184,121.531406
"tt-mb-d104G70","淨華禪苑","Jing Hua Chan Yuan",25.058579,121.531382
"tt-mb-d104G80","慧德講堂","Hui De Jiang Tang",25.048602,121.534125
"tt-mb-d104G90","法雨同修會","Fa Yu Tong Xiu Hui",25.066886,121.535592
"tt-mb-d104H00","觀世音講堂","Guan Shi Yin Jiang Tang",25.046726,121.531853
"tt-mb-d104H10","法華講堂","Fa Hua Jiang Tang",25.05666,121.52789
"tt-mb-d104H20","蓮池庵","Lian Chi An",25.04834,121.521133
"tt-mb-d104H30","中華民國佛教青年會","R.O.C. Buddhist Young Buddhists Society",25.048394,121.527396
"tt-mb-d104H40","噶陀佛學院","Kathok Buddhist Institute",25.046051,121.543662
"tt-mb-d104H50","創價學會講堂","Chuang Jia Xue Hui Jiang Tang",25.060954,121.52443
"tt-mb-d104H60","創價學會錦州文化會館師弟會堂","Chuang Jia Xue Hui Jin Zhou Wen Hua Hui Guan Shi Di Hui Tang",25.060954,121.52443
"tt-mb-d104H70","創價學會錦州文化會館藝文會堂","Chuang Jia Xue Hui Jin Zhou Wen Hua Hui Guan Yi Wen Hui Tang",25.061403,121.52456
"tt-mb-d104H80","中華大乘佛學會長安教室","Zhong Hua Da Sheng Fo Xue Hui Chang An Jiao Shi",25.048596,121.534007
"tt-mb-d104H90","中華大乘佛學會","Zhong Hua Da Cheng Buddhist Institute",25.048596,121.534007
"tt-mb-d104I00","生命電視台北中心","Sheng Ming Dian Shi Taipei Zhong Xin",25.047195,121.532305
"tt-mb-d104I10","創價學會合江講堂","Chuang Jia Xue Hui He Jiang Jiang Tang",25.055366,121.539307
"tt-mb-d104I20","大自在講堂","Da Zi Zai Jiang Tang",25.054418,121.54254
"tt-mb-d104I30","萬佛山慈明講堂","Wan Fo Shan Ci Ming Jiang Tang",25.048106,121.543164
"tt-mb-d104I40","四諦講修佛學會","Si Di Jiang Xiu Buddhist Institute",25.055927,121.523375
"tt-mb-d104I60","無所得佛堂","Wu Suo De Fo Tang",25.056666,121.521097
"tt-mb-d105A10","法光寺","Fa Kuang Temple",25.049908,121.556634
"tt-mb-d105A22","佛光山普門寺","Fo Guang Shan Pu Men Temple",25.061805,121.546404
"tt-mb-d105A30","台北佛教蓮社","Taipei Buddhist Lotus Society",25.052962,121.559533
"tt-mb-d105A40","大緣精舍","Da Yuan Jing She",25.059953,121.564353
"tt-mb-d105A50","慈濟松山聯絡處","Ci Ji Song Shan Lian Luo Chu",25.05121,121.563734
"tt-mb-d105A60","佛菩提講堂","Fo Pu Ti Jiang Tang",25.048025,121.5466
"tt-mb-d105A70","無極太上玄門聖佛宗千圓光佛學會","Wu Ji Tai Shang Xuan Men Sheng Fo Zong Qian Yuan Guang Buddhist Institute",25.049349,121.567894
"tt-mb-d105A80","淨宗共修會","Jing Zong Gong Xiu Hui",25.049553,121.573722
"tt-mb-d105A90","本願山松山念佛會","Ben Yuan Shan Song Shan Chanting Society",25.046853,121.559945
"tt-mb-d105B00","妙音精舍","Miao Yin Jing She",25.053905,121.561959
"tt-mb-d105B10","延壽精舍","Yan Shou Jing She",25.051685,121.561906
"tt-mb-d105B20","萬國道德講堂","Wan Guo Dao De Jiang Tang",25.053948,121.563121
"tt-mb-d105B30","品慧講堂","Pin Hui Jiang Tang",25.066226,121.544584
"tt-mb-d105B40","貝瑪禪密佛學中心","Bei Ma Chan Mi Buddhist Center",25.048895,121.554768
