nanyangSiteId,siteNameZh,siteNameAlt1,latitude,longitude
js-mb-S122,天和大法師公廟,TianHeDaFaShiGongMiao,25.21841,121.64574
js-mb-S123,天護宮,TianHuGong,25.21422,121.64518
js-mb-S124,鎮英殿,ZhenYingDian,25.22171,121.63853
js-mb-S125,保安宮,BaoAnGong,25.22146,121.63896
js-mb-S126,機盟道院,JiMengDaoYuan,25.22088,121.63973
js-mb-S127,福潭宮,FuTanGong,25.22633,121.61439
js-mb-S128,??,??,25.22224,121.60877
js-mb-S129,田頭田尾土地公,TianTouTianWeiTuDiGong,25.22425,121.61581
js-mb-S130,兩福宮,LiangFuGong,25.23942,121.59924
js-mb-S131,天佛道場,TianFoDaoChang,25.23586,121.59287
js-mb-S132,巧聖宮,QiaoShengGong,25.22654,121.63134
js-mb-S133,福安宮,FuAnGong,25.2208,121.59718
js-mb-S134,姜太公草堂,JiangTaiGongCaoTang,25.22142,121.59681
js-mb-S135,虛空聖寶殿,XuKongShengBaoDian,25.20934,121.59986
js-mb-S136,金法林,JinFaLin,25.19942,121.59684
js-mb-S137,??,??,25.18961,121.59089
js-mb-S138,慈音寺,CiYinGong,25.21587,121.61517
js-mb-S139,南天宮,NanTianGong,25.2147,121.61669
js-mb-S140,順興宮,ShunXingGong,25.21431,121.61366
js-mb-S141,明安宫,MingAnGong,25.21253,121.61239
js-mb-S142,怯羅山大覺寺,QieLuoShanDaJueSi,25.20935,121.60589
js-mb-S143,紫凌宫,ZiLingGong,25.21058,121.61298
js-mb-S144,天宣慈惠行堂,TianXuanCiHuiXingTang,25.2166,121.63392
js-mb-S145,??,??,25.21534,121.63326
js-mb-S146,長興宮,ChangXingGong,25.21382,121.62808
js-mb-S147,七十一,QiShiYi,25.23498,121.63006
